Assunto;Cliente (Completo);Servico;Responsavel;Categoria;Urgencia;Status
Reinstalacao sigecom;Agropecuaria Souza Tanaka;Reinstalacao do Sistema;Bruna Elisa Ramos de Aguiar;Solicitacao de servico;Alta;Resolvido
Sistema nao inicia.;Bom Motivo;SIGECOM nao abre;Marcos Maciel;Problema Cliente;Urgente;Resolvido
Auxiliar na entrada de compra e gerar etiqueta.;Distribuidor De Alimentos Bom Prato;Mod. Compra;Marcos Maciel;Duvida;Urgente;Resolvido
Problema ao acessar Sigecom.;Padaria E Confeitaria America;SIGECOM nao abre;Marcos Maciel;Problema Cliente;Urgente;Resolvido
